timeseries,T,P,E,Q_obs,Q_sim,U_soil,S_snow,Q_snow,Q_inter,E_eal,Q_of,Q_g,Q_bf,L_soil
2019-08-13,27.83333333333333,5,2.1,0.3314814814814817,0.9335389062544803,0.97,0.0,0.0,0.03278257690224306,0.0,0.0,1.9168479837852312,3.2514905734135686,0.7315169614826592
2019-08-14,28.479166666666668,0,2.2,0.1,0.9104756204724876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1826627746262375,0.7328340653122958
2019-08-15,28.325000000000003,0,2.3,1.2574074074074084,0.8886233692635012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.115291927897954,0.7328340653122958
2019-08-16,27.02916666666667,0,2.0,0.0,0.8683157391463909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0493471923571556,0.7328340653122958
2019-08-17,26.34583333333333,0,1.4,0.1,0.8491644022394372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9847983799741846,0.7328340653122958
2019-08-18,27.40416666666667,10,2.1,0.6787037037037017,0.8621598772496638,0.97,0.0,0.0,0.032852048952499414,0.0,0.0,4.622230692996897,3.0194596712263015,0.7328340653122958
2019-08-19,28.237500000000008,0,2.1,0.1,0.8430022852489782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.955543520154874,0.7359868415998541
2019-08-20,26.26666666666667,0,1.3,0.1,0.8239898538233028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8929803510115426,0.7359868415998541
2019-08-21,25.899999999999995,13,1.1,0.1,0.853527409815107,0.97,0.0,0.0,0.03301834550996726,0.0,0.0,7.345195798156253,2.9872251848915967,0.7359868415998541
2019-08-22,25.80416666666667,10,1.0,0.1,0.8735774825947483,0.97,0.0,0.0,0.032546980755881166,0.0,0.0,5.945646656456348,3.0498492747284023,0.7270503510187989
2019-08-23,25.654166666666665,7,1.0,0.1,0.8805666448211709,0.97,0.0,0.0,0.03276787494167529,0.0,0.0,3.9872767366863524,3.069692810261591,0.7312382305614394
2019-08-24,25.9125,0,1.3,0.1,0.8592805808829892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0047133202974576,0.733982223283281
2019-08-25,25.79583333333333,0,0.8,0.1,0.8388315138447484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.941109321099659,0.733982223283281
2019-08-26,27.46666666666667,11,1.9,0.1,0.8559833718854388,0.97,0.0,0.0,0.03291260977273826,0.0,0.0,5.437866173647955,2.993960859305926,0.733982223283281
2019-08-27,28.154166666666665,0,2.0,0.1,0.8364236159624546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93058446901699,0.7376676010988187
2019-08-28,26.995833333333326,0,1.5,0.1,0.8172838354140464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.868549634959016,0.7376676010988187
2019-08-29,24.950000000000003,49,0.8,1.8411111111111151,0.9946666514511996,0.97,0.0,0.0,0.03310699896746509,0.0,0.0,31.911369344682853,3.4833302428261987,0.7376676010988187
2019-08-30,25.2375,7,0.9,0.6887037037037017,0.9989051422692427,0.97,0.0,0.0,0.03130036959620976,0.0,0.0,3.846627661395081,3.4910205501054734,0.7034161509856607
2019-08-31,26.23333333333333,21,1.4,2.077592592592592,1.054190066858938,0.97,0.0,0.0,0.03146280316058855,0.0,0.0,12.477858168258294,3.681254609639364,0.7064956897198044
2019-09-01,26.704166666666666,10,1.4,5.907037037037037,1.0652638717600786,0.97,0.0,0.0,0.03125013166214003,0.0,0.0,5.421201580347772,3.7180859389317686,0.7024637021215189
